[2018-07-26 10:33:05 *126787.3]	ERROR	zm_deactivate_swoole (ERROR 503): Fatal error: Class 'APP\HttpController\ApiController' not found in /var/www/html/easyswoole/App/HttpController/Hello.php on line 8.
[2018-07-26 10:33:05 $126773.0]	WARNING	swManager_check_exit_status: worker#3 abnormal exit, status=255, signal=0
[2018-07-26 13:59:40 $126949.0]	WARNING	swSignal_callback: signal[1] callback is null.
[2018-07-26 13:59:40 *126965.5]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126964.4]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126963.3]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126962.2]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126961.1]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126960.0]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 #126948.0]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 *126966.6]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 13:59:40 $126949.0]	WARNING	swSignal_callback: signal[1] callback is null.
[2018-07-26 13:59:40 *126967.7]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-07-26 14:05:34 #126948.0]	NOTICE	Server is shutdown now.
